date	mi_mu	mi_sigma	r_mu	r_sigma	m	mi_mu_afa	mi_sigma_afa	r_mu_afa	r_sigma_afa	m_afa
1951-05-01	7.760072377113381e-05	0.016127122576374723	8.705344497786895e-05	7.630884474170667e-05	8.373240565683041e-05	4.51705837605592e-05	0.01828078874117118	0.00011506128566952208	0.00012421546366352617	0.00011137990843582593
1951-06-01	0.00011454597683126019	0.019269454955437818	0.00012220544954434805	0.00013597874106652448	0.0001152528112655304	4.744368489680184e-05	0.018477760394515638	0.00011729832931445915	0.0001267198754147152	0.00011336138912037821
1951-07-01	0.00013981290448502405	0.014310876664105125	6.731574425729516e-05	6.001605920845318e-05	6.36712659473594e-05	6.0864011873564996e-05	0.018595866019214848	0.00011794861416412412	0.00012678906926385746	0.00011341449353860538
1951-09-01	0.0003371636122236282	0.022441430250164925	0.00016092580321476078	0.00017219648473148155	0.0001479660195989402	6.966244840177975e-05	0.018715583328989056	0.00011902375992152844	0.00012802067952690456	0.00011411049785089036
1951-10-01	7.609560446877375e-06	0.02079273002706401	0.00014658608612920922	0.0001781446703140946	0.00014249622277837798	7.38389944814461e-05	0.018836912323838273	0.00012052376658667211	0.00013041470620385654	0.00011544940205723324
1951-11-01	-2.1974909388497306e-05	0.018147323709092885	0.00011182997993661323	0.0001239113162558092	0.0001088978712628441	7.339365011256406e-05	0.018959853003762503	0.00012244863415955515	0.00013397114929471337	0.00011743120615763394
1951-12-01	1.9762936349817328e-05	0.016953356490067097	9.708427291686003e-05	8.443310857006908e-05	9.429363366647097e-05	6.832641529513363e-05	0.01908440536876174	0.00012479836264017756	0.00013869000879947503	0.00012005591015209252
1952-01-01	-9.496993875902484e-05	0.02137675051899046	0.00015655999542737534	0.0001866781147275335	0.00015385079439061896	5.863729002915482e-05	0.01921056941883598	0.00012757295202853934	0.00014457128471814156	0.00012332351404060896
1952-02-01	5.240749341078551e-05	0.0197755495806744	0.0001309348573120577	0.00014244696928859634	0.00012559535514847136	4.1481547681099e-05	0.01927971792432133	0.00012916244282595445	0.00014940727009321418	0.00012548747006110682
1952-03-01	0.00021790389637903518	0.018129335304853673	0.00010715386727965651	0.0001136050832828638	0.00010028240302225612	2.9739959123144487e-05	0.019336748261519442	0.00013043296713459326	0.00015215210169909832	0.00012714428387794813
1952-04-01	4.51759366188342e-05	0.01592006816337333	8.407499391596209e-05	7.966605799225444e-05	8.007105976645178e-05	2.341252435529129e-05	0.01938166043043032	0.0001313845249544558	0.0001528057795357939	0.0001282939554911329
1952-05-01	7.003103050159954e-05	0.016586771484905956	9.134153113978772e-05	8.640519427344021e-05	8.713816967689645e-05	2.2499243377539414e-05	0.01941445443105395	0.000132017116285542	0.00015136830360330092	0.0001289364849006612
1952-09-01	-0.00014733240526893838	0.027290604643326784	0.0002609727403617409	0.0003919881864264833	0.00026268047807299303	2.700011618988885e-05	0.019435130263390353	0.0001323307411278519	0.00014783967390161944	0.00012907187210653293
1952-10-01	2.2148676548611664e-05	0.018743150652811274	0.00012146305493534463	0.00012395671519823637	0.0001210095979307056	3.6915142792339606e-05	0.019443687927439512	0.00013232539948138553	0.00014221989043074939	0.00012870011710874817
1952-11-01	1.5334551814365712e-05	0.017175403337361377	0.00010020088413375355	8.570534246835075e-05	9.78729628825131e-05	4.094771764937459e-05	0.019355398036485456	0.00013131986633202497	0.0001364624192831741	0.00012772617545630404
1952-12-01	-4.221580978739047e-05	0.017751080801142308	0.0001077340580321087	0.00010386812874836146	0.00010582385625989447	4.427402753997224e-05	0.01919151708964758	0.00012921865985027404	0.000130464489183208	0.00012567716145888414
1953-02-01	0.00013849581246677898	0.017883762376331245	0.00010502817557270504	9.422569813678589e-05	9.92006297384855e-05	4.6894072464132515e-05	0.018952045086925877	0.00012602178003613283	0.000124226100130851	0.00012255307511648846
1953-03-01	7.01200678852244e-05	0.016648292749389837	9.285139172032422e-05	7.50384793218263e-05	8.955713424810116e-05	4.8807852421855435e-05	0.018636982028320356	0.00012172922688960126	0.00011774725212610314	0.00011835391642911702
1953-04-01	0.00020897643336393224	0.018091229561990652	0.00010681353759018796	0.00013264071030459986	9.991340466732946e-05	5.0015367413141017e-05	0.018246327913831017	0.00011634100041067935	0.0001110279451689644	0.00011307968539676982
1953-05-01	-7.61788888733989e-05	0.027395943881562305	0.0002551011058370074	0.00023263389543040972	0.000250105676609009	5.0516617437989234e-05	0.017780082743457853	0.00010985710059936715	0.00010406817925943483	0.00010673038201944684
1953-06-01	7.110761306761386e-05	0.014174901385946318	6.78835156195412e-05	7.168542129132956e-05	6.598441109197463e-05	4.3117123975919714e-05	0.017749369711864183	0.00011067975671565105	0.00010329403774098382	0.00010766328492652901
1953-07-01	7.575929433537449e-05	0.016404468454305068	9.01723328946871e-05	8.12078305112531e-05	8.68159079822776e-05	3.9545556003482826e-05	0.01774418153600167	0.00011133275728546652	0.00010330479680217276	0.00010836034389033022
1953-09-01	4.849874309577259e-05	0.014703411915550732	7.3280831827964e-05	6.286151743289791e-05	7.158736113827516e-05	3.9801913520678584e-05	0.01776451821587032	0.00011181610230881354	0.00010410045644300157	0.00010882155891085035
