date	mi_mu	mi_sigma	r_mu	r_sigma	m	mi_mu_afa	mi_sigma_afa	r_mu_afa	r_sigma_afa	m_afa
1951-11-01	9.79934210050631e-06	0.01576397503884904	7.994825995335511e-05	9.295557489147058e-05	7.388093191296633e-05	0.00013642999699290986	0.019170246487285745	0.00012409269607484128	0.00014276458078161245	0.00011501938181101475
1951-12-01	6.991238466736093e-05	0.014745983065549808	6.942050878302727e-05	7.302735178464742e-05	6.381441223059713e-05	0.0001279255820871007	0.019468567951604822	0.00012857907374165737	0.00015324215726575632	0.00011990048971388145
1952-01-01	-3.046515056253056e-05	0.01907900957545251	0.00011884679022809418	0.00014130479404104947	0.00011133857111376005	0.00011245509492401184	0.019787656073377142	0.000133539166078326	0.0001661488333676654	0.00012551975451197613
1952-02-01	0.00011087931646756787	0.01944938691453517	0.00012020361746326157	0.0001393378170694578	0.00010965432788327212	9.034992009276531e-05	0.019737390593058558	0.00013281984541319315	0.0001716790216347444	0.0001255384616324054
1952-03-01	0.00021043817922030496	0.019799063070268453	0.00012334669951088228	0.00013051591058822938	0.00011196306660509275	7.43896196907179e-05	0.01972618674265808	0.00013266688690826117	0.0001746281037176706	0.00012586903972184628
1952-04-01	8.072146399507193e-05	0.014422760582015255	6.660295688580212e-05	6.340983438701653e-05	6.152031310775425e-05	6.457419371786965e-05	0.019754044522175704	0.00013308029056353	0.0001749960796164441	0.00012651148878029878
1952-05-01	0.00012617448257220136	0.018650273131896315	0.0001142416104510689	0.00010831230987336888	0.0001083558156160304	6.0903642174220555e-05	0.01982096393161143	0.00013406005637899967	0.00017278294933106484	0.00012746580880776295
1952-09-01	-8.830856562922347e-05	0.02572309782149218	0.00022821089590217982	0.00044123822753963085	0.00022586181599700876	6.337796505977061e-05	0.019926944970965258	0.00013560618435467015	0.00016798871286153282	0.00012873199980423873
1952-10-01	4.3655419126361216e-05	0.024866425335624238	0.00021154773990899063	0.00028211670919757215	0.00020792640885644584	7.19971623745198e-05	0.020071987640237193	0.0001377186744905415	0.00016061337020784806	0.00013031006176972618
1952-11-01	5.4172789411977534e-05	0.016142740775353846	8.446410492604e-05	8.25399898903039e-05	7.883022164932846e-05	7.272323889823422e-05	0.0203576386973384	0.00014256924045030056	0.00016138880307903087	0.00013515921854228029
1952-12-01	-4.32018148174828e-06	0.016373647014172	8.82086338764903e-05	9.140394416187448e-05	8.35617263367883e-05	7.32487935570949e-05	0.02041483183559761	0.00014402765276749806	0.00015909269052046202	0.00013666453052460628
1953-02-01	0.00014613216283522828	0.019850216049677294	0.0001252721126716987	0.00011834523244485304	0.00011491692286281322	7.357382635110191e-05	0.02024356705501483	0.00014209391144213407	0.00015372503253214157	0.0001348259977167042
1953-03-01	7.196664817463934e-05	0.017902625502855696	0.0001046290118471615	9.882059118595252e-05	9.837512136717683e-05	7.369833728025518e-05	0.019843844355590064	0.00013676801647420847	0.00014528582911406946	0.00012964362011857395
1953-04-01	0.00022086751440343383	0.01902873032013166	0.00011285447477180191	0.00013294064717644195	0.00010123498177409023	7.362232634455478e-05	0.019215663737323304	0.00012804996786372136	0.0001337750802662457	0.00012111739773021564
1953-05-01	-5.9509676645265435e-06	0.029647863229608898	0.0002919141199335673	0.00025768780514627386	0.00028049150983687867	7.334579354400065e-05	0.01835902520021456	0.00011593976561067271	0.00011919278598867034	0.00010924733055162919
1953-06-01	5.4046722465338934e-05	0.01325938779295626	5.704891475091112e-05	5.982564190851146e-05	5.337854536732251e-05	6.584224671819397e-05	0.018002229574315458	0.00011244819895658641	0.00011119431929349775	0.00010589198808645016
1953-07-01	0.00011674751303120123	0.016922076304715657	9.149416223253921e-05	9.010647087248684e-05	8.417911234702096e-05	6.254455848720355e-05	0.017783886077039113	0.0001101933883955554	0.00010604307711842735	0.00010367260819169788
1953-09-01	5.415372540680743e-05	0.015232270264542293	7.559946399345744e-05	6.660383564916156e-05	7.097948771450988e-05	6.345272885102935e-05	0.01770399470838552	0.00010917533392757972	0.00010373905946345917	0.00010258919086737234
1953-10-01	7.146987674543733e-05	0.015678694067331685	8.022985678731892e-05	8.575751128999538e-05	7.54759850147679e-05	6.856675780967141e-05	0.017762555468354684	0.00010939403555265936	0.00010428226632859319	0.00010264173611347356
1953-11-01	8.911481015926315e-05	0.01716473760123967	9.424451719247484e-05	9.163530115535723e-05	8.677843596322968e-05	7.788664536312972e-05	0.017959568356946613	0.00011084949327079434	0.00010767269771382944	0.0001038302439300015
1953-12-01	4.143928345859508e-05	0.01659791334458009	8.970984004629342e-05	9.172253777392996e-05	8.408683808080702e-05	9.14123915114043e-05	0.01829503337416129	0.00011354170708198461	0.0001139103536191679	0.00010615471431695623
